idade_pessoa,renda_pessoa,propriedade_casa_pessoa,tempo_emprego_pessoa,intencao_emprestimo,grau_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,percentual_renda_emprestimo,inadimplente_pessoa,grau_emprestimo_encoded
22.0,27000.0,Rent,1.0,Venture,B,5000.0,10.08,0.0,0.19,N,1.0
23.0,72000.0,Rent,7.0,Debtconsolidation,B,10000.0,10.59,0.0,0.14,N,1.0
25.0,36000.0,Rent,2.0,Debtconsolidation,B,10000.0,12.42,0.0,0.28,N,1.0
26.0,54000.0,Mortgage,10.0,Education,A,5000.0,6.62,0.0,0.09,N,0.0
32.0,75000.0,Mortgage,12.0,Homeimprovement,B,12000.0,10.65,0.0,0.16,N,1.0
21.0,37200.0,Rent,2.0,Medical,A,5100.0,7.49,0.0,0.14,N,0.0
23.0,175000.0,Mortgage,3.0,Education,A,7200.0,8.38,0.0,0.04,N,0.0
22.0,49000.0,Rent,3.0,Debtconsolidation,D,9600.0,15.476839344413525,1.0,0.2,N,3.0
28.0,40800.0,Mortgage,12.0,Education,A,6700.0,6.99,0.0,0.16,N,0.0
24.0,78956.0,Rent,5.0,Medical,B,35000.0,11.11,1.0,0.44,N,1.0
29.0,50000.0,Mortgage,0.0,Homeimprovement,B,3575.0,11.49,0.0,0.07,N,1.0
28.0,111000.0,Mortgage,12.0,Debtconsolidation,F,25000.0,19.79,1.0,0.23,N,5.0
34.0,30000.0,Mortgage,4.0,Personal,A,4300.0,7.9,0.0,0.14,N,0.0
23.0,19250.0,Rent,1.0,Homeimprovement,E,6250.0,16.82,1.0,0.32,N,4.0
31.0,40000.0,Rent,0.0,Medical,C,1600.0,14.79,0.0,0.04,N,2.0
26.0,70000.0,Own,10.0,Personal,B,10000.0,12.42,0.0,0.14,N,1.0
29.0,32000.0,Rent,2.0,Education,C,7000.0,14.65,1.0,0.22,Y,2.0
23.0,46000.0,Rent,3.0,Medical,D,15000.0,16.0,1.0,0.33,N,3.0
24.0,72000.0,Rent,8.0,Personal,C,16000.0,13.06,0.0,0.22,Y,2.0
33.0,50000.0,Rent,5.0,Education,C,3600.0,13.8,0.0,0.07,N,2.0
34.0,45000.0,Rent,3.0,Personal,B,7000.0,11.86,0.0,0.16,N,1.0
29.0,68000.0,Mortgage,14.0,Personal,C,15000.0,12.73,0.0,0.22,Y,2.0
39.0,30400.0,Rent,2.0,Medical,D,10000.0,15.7,1.0,0.33,Y,3.0
23.0,54996.0,Mortgage,7.0,Education,B,2100.0,11.49,0.0,0.04,N,1.0
25.0,95950.0,Rent,2.0,Personal,B,17500.0,11.71,0.0,0.18,N,1.0
23.0,70000.0,Rent,6.0,Venture,C,6500.0,13.23,0.0,0.09,N,2.0
21.0,83000.0,Mortgage,3.0,Venture,A,14000.0,8.49,0.0,0.17,N,0.0
25.0,74000.0,Mortgage,9.0,Venture,A,12000.0,6.03,0.0,0.16,N,0.0
24.0,54000.0,Rent,3.0,Homeimprovement,B,6000.0,10.99,1.0,0.11,N,1.0
35.0,57721.0,Rent,3.0,Debtconsolidation,B,16500.0,10.520254263944818,0.0,0.29,N,1.0
32.0,45000.0,Mortgage,6.0,Medical,A,6400.0,7.49,0.0,0.14,N,0.0
25.0,61200.0,Mortgage,1.0,Personal,A,5650.0,7.66,0.0,0.09,N,0.0
22.0,91000.0,Rent,2.0,Personal,B,8000.0,11.86,0.0,0.09,N,1.0
26.0,51996.0,Rent,1.0,Medical,C,10000.0,13.23,0.0,0.19,N,2.0
34.0,25200.0,Rent,6.0,Personal,C,12000.0,13.48,1.0,0.48,N,2.0
27.0,72000.0,Mortgage,3.0,Debtconsolidation,A,15000.0,5.42,0.0,0.21,N,0.0
23.0,44000.0,Own,7.0,Venture,A,6400.0,7.51,0.0,0.15,N,0.0
26.0,60000.0,Mortgage,10.0,Personal,A,1200.0,7.4,0.0,0.02,N,0.0
30.0,52000.0,Mortgage,4.0,Personal,B,14675.0,9.63,0.0,0.28,N,1.0
35.0,100843.0,Mortgage,6.0,Medical,C,2800.0,12.87,0.0,0.03,N,2.0
26.0,25000.0,Rent,3.0,Medical,B,8500.0,11.71,1.0,0.34,N,1.0
34.0,195000.0,Mortgage,18.0,Personal,A,6000.0,6.92,0.0,0.03,N,0.0
24.0,46000.0,Mortgage,9.0,Education,A,12000.0,7.88,1.0,0.26,N,0.0
23.0,45000.0,Rent,4.0,Education,A,9000.0,5.99,0.0,0.2,N,0.0
22.0,46320.0,Mortgage,6.0,Debtconsolidation,D,15000.0,12.86,1.0,0.32,Y,3.0
25.0,36228.0,Rent,4.0,Medical,A,2500.0,7.66,1.0,0.07,N,0.0
26.0,65000.0,Mortgage,11.0,Venture,A,12000.0,7.9,0.0,0.18,N,0.0
26.0,31200.0,Rent,1.0,Venture,A,6400.0,7.51,0.0,0.21,N,0.0
23.0,31920.0,Rent,0.0,Debtconsolidation,A,5000.0,8.0,0.0,0.16,N,0.0
24.0,70000.0,Rent,2.0,Debtconsolidation,B,13000.0,10.0,0.0,0.19,N,1.0
22.0,60000.0,Mortgage,6.0,Medical,A,8000.0,8.07,0.0,0.13,N,0.0
34.0,40000.0,Rent,2.0,Personal,B,13200.0,12.42,1.0,0.33,N,1.0
31.0,101000.0,Mortgage,6.0,Personal,A,12000.0,9.63,0.0,0.12,N,0.0
38.0,80000.0,Mortgage,5.0,Debtconsolidation,C,4000.0,12.98,0.0,0.05,Y,2.0
29.0,66000.0,Mortgage,4.0,Debtconsolidation,E,8200.0,17.04,1.0,0.12,Y,4.0
25.0,42000.0,Rent,2.0,Medical,D,6750.0,17.27,1.0,0.16,N,3.0
24.0,114000.0,Mortgage,8.0,Venture,B,4000.0,10.42296964100237,0.0,0.04,N,1.0
22.0,60000.0,Mortgage,1.0,Education,A,4800.0,7.49,0.0,0.08,N,0.0
29.0,54000.0,Rent,2.0,Homeimprovement,B,13575.0,11.71,1.0,0.25,N,1.0
23.0,115000.0,Mortgage,4.0,Debtconsolidation,A,5600.0,5.42,0.0,0.05,N,0.0
22.0,36000.0,Own,6.0,Education,B,14500.0,10.99,0.0,0.4,N,1.0
25.0,188000.0,Mortgage,9.0,Homeimprovement,D,25000.0,13.24,1.0,0.13,Y,3.0
24.0,23000.0,Rent,0.0,Homeimprovement,C,8000.0,13.49,1.0,0.35,N,2.0
23.0,49000.0,Mortgage,7.0,Debtconsolidation,A,2400.0,7.66,0.0,0.05,N,0.0
23.0,50400.0,Rent,5.0,Education,B,9400.0,9.99,0.0,0.19,N,1.0
23.0,80000.0,Mortgage,3.0,Debtconsolidation,B,24000.0,11.71,0.0,0.3,N,1.0
22.0,100000.0,Rent,3.0,Education,C,6000.0,12.98,0.0,0.06,Y,2.0
27.0,37000.0,Rent,7.0,Medical,B,8400.0,9.91,0.0,0.23,N,1.0
27.0,67000.0,Rent,5.0,Personal,C,12000.0,13.23,0.0,0.18,Y,2.0
24.0,54000.0,Mortgage,5.0,Personal,A,8000.0,7.49,0.0,0.15,N,0.0
24.0,56000.0,Rent,3.0,Medical,B,10000.0,12.21,0.0,0.18,N,1.0
25.0,52000.0,Mortgage,5.0,Homeimprovement,A,12000.0,7.88,0.0,0.23,N,0.0
30.0,120000.0,Mortgage,3.0,Personal,B,6000.0,10.99,0.0,0.05,N,1.0
36.0,52000.0,Mortgage,8.0,Debtconsolidation,B,2275.0,11.86,0.0,0.04,N,1.0
38.0,59475.0,Mortgage,10.0,Medical,D,18125.0,14.84,1.0,0.26,Y,3.0
44.0,68000.0,Rent,7.0,Education,A,5150.0,7.9,0.0,0.08,N,0.0
22.0,48000.0,Mortgage,2.0,Medical,B,9600.0,11.86,0.0,0.2,N,1.0
21.0,49000.0,Rent,2.0,Personal,D,16950.0,18.25,1.0,0.35,Y,3.0
34.0,85000.0,Mortgage,6.0,Homeimprovement,B,24000.0,11.49,0.0,0.28,N,1.0
27.0,60000.0,Mortgage,9.0,Debtconsolidation,A,3600.0,5.42,0.0,0.06,N,0.0
24.0,20000.0,Rent,0.0,Medical,C,8000.0,12.41,1.0,0.4,Y,2.0
26.0,24000.0,Rent,5.0,Medical,A,6000.0,6.62,0.0,0.25,N,0.0
24.0,33900.0,Rent,3.0,Education,D,5500.0,17.58,0.0,0.16,N,3.0
23.0,40000.0,Mortgage,6.0,Personal,B,7200.0,11.11,0.0,0.18,N,1.0
27.0,75000.0,Rent,7.0,Venture,B,15000.0,11.14,0.0,0.2,N,1.0
22.0,71400.0,Mortgage,2.0,Medical,D,15000.0,14.96,1.0,0.18,Y,3.0
25.0,66143.0,Rent,9.0,Education,A,24000.0,6.99,1.0,0.36,N,0.0
44.0,35000.0,Rent,4.0,Debtconsolidation,B,10825.0,10.65,1.0,0.31,N,1.0
27.0,50000.0,Rent,11.0,Homeimprovement,C,5500.0,12.73,1.0,0.11,N,2.0
26.0,106000.0,Mortgage,9.0,Education,D,10000.0,15.33,0.0,0.09,Y,3.0
28.0,55640.0,Mortgage,6.0,Medical,B,20000.0,10.547493958368701,0.0,0.36,N,1.0
24.0,87504.0,Own,9.0,Venture,B,7000.0,8.88,0.0,0.08,N,1.0
23.0,30000.0,Mortgage,6.0,Personal,C,2400.0,12.915660305432205,0.0,0.08,N,2.0
28.0,55000.0,Mortgage,7.0,Personal,A,8000.0,7.948957624177483,0.0,0.15,N,0.0
21.0,63000.0,Mortgage,2.0,Personal,B,10000.0,10.59,0.0,0.16,N,1.0
23.0,65000.0,Mortgage,0.0,Debtconsolidation,B,18000.0,9.99,0.0,0.28,N,1.0
25.0,19800.0,Rent,9.0,Medical,D,3625.0,16.29,1.0,0.18,N,3.0
33.0,69600.0,Mortgage,17.0,Personal,B,16000.0,11.99,0.0,0.23,N,1.0
22.0,87000.0,Mortgage,6.0,Personal,A,11200.0,8.49,0.0,0.13,N,0.0
23.0,18000.0,Rent,1.0,Homeimprovement,B,3000.0,11.71,1.0,0.17,N,1.0
29.0,79894.0,Mortgage,7.0,Venture,D,20000.0,14.96,0.0,0.25,Y,3.0
30.0,56030.0,Mortgage,14.0,Personal,B,13000.0,11.89,0.0,0.23,N,1.0
22.0,55000.0,Rent,1.0,Venture,C,15000.0,12.84,0.0,0.27,N,2.0
25.0,36960.0,Rent,8.0,Debtconsolidation,D,12500.0,14.61,1.0,0.34,Y,3.0
24.0,56000.0,Rent,6.0,Personal,A,9000.0,7.29,0.0,0.16,N,0.0
25.0,120000.0,Mortgage,2.0,Education,B,13000.0,9.99,0.0,0.11,N,1.0
31.0,60000.0,Mortgage,15.0,Debtconsolidation,A,10000.0,9.63,0.0,0.17,N,0.0
29.0,61455.0,Mortgage,1.0,Medical,F,10000.0,18.09,1.0,0.14,N,5.0
27.0,38000.0,Mortgage,3.0,Venture,B,4500.0,9.99,0.0,0.12,N,1.0
26.0,110004.0,Mortgage,1.0,Venture,B,12000.0,10.36,0.0,0.11,N,1.0
24.0,38400.0,Rent,8.0,Medical,A,4200.0,6.76,0.0,0.11,N,0.0
39.0,50000.0,Mortgage,1.0,Personal,A,8000.0,7.68,0.0,0.16,N,0.0
23.0,95004.0,Rent,2.0,Personal,A,5000.0,9.63,0.0,0.05,N,0.0
27.0,44400.0,Rent,7.0,Venture,B,7000.0,10.0,0.0,0.16,N,1.0
27.0,42000.0,Rent,6.0,Personal,A,5950.0,5.99,0.0,0.14,N,0.0
26.0,30000.0,Rent,5.0,Debtconsolidation,C,15000.0,12.84,1.0,0.5,N,2.0
39.0,116000.0,Rent,1.0,Venture,C,8000.0,15.27,1.0,0.07,N,2.0
32.0,42000.0,Mortgage,16.0,Debtconsolidation,A,10375.0,5.42,0.0,0.25,N,0.0
28.0,49900.0,Rent,6.0,Homeimprovement,C,7000.0,14.27,1.0,0.14,N,2.0
23.0,40000.0,Rent,6.0,Venture,B,15000.0,11.71,1.0,0.38,N,1.0
30.0,85000.0,Mortgage,0.0,Homeimprovement,C,18000.0,13.06,0.0,0.21,N,2.0
24.0,6000.0,Rent,0.0,Personal,A,1050.0,7.894867373821482,1.0,0.17,N,0.0
26.0,57800.0,Mortgage,0.0,Medical,D,15000.0,15.518866301524662,1.0,0.22,Y,3.0
27.0,47000.0,Rent,0.0,Debtconsolidation,E,24000.0,17.14,1.0,0.51,N,4.0
47.0,65000.0,Rent,1.0,Medical,C,3100.0,13.49,0.0,0.05,N,2.0
26.0,48000.0,Rent,7.0,Personal,A,9000.0,8.94,0.0,0.19,N,0.0
37.0,26000.0,Own,2.0,Medical,A,6000.0,8.59,0.0,0.23,N,0.0
27.0,54400.0,Mortgage,11.0,Medical,D,3000.0,15.425473063499913,1.0,0.05,Y,3.0
24.0,88400.0,Rent,8.0,Medical,D,5000.0,15.441038603170703,1.0,0.05,N,3.0
22.0,90000.0,Mortgage,6.0,Education,B,6400.0,9.88,0.0,0.07,N,1.0
34.0,54000.0,Rent,5.0,Medical,D,3000.0,15.37,1.0,0.06,Y,3.0
45.0,47000.0,Rent,13.0,Medical,E,15000.0,16.4,1.0,0.32,Y,4.0
31.0,45000.0,Rent,5.0,Medical,A,14000.0,7.91,1.0,0.31,N,0.0
24.0,105508.0,Mortgage,8.0,Medical,A,3500.0,7.66,0.0,0.03,N,0.0
23.0,24960.0,Rent,3.0,Medical,B,1675.0,11.11,0.0,0.07,N,1.0
26.0,93450.0,Mortgage,1.0,Homeimprovement,B,12000.0,11.26,0.0,0.13,N,1.0
40.0,66000.0,Own,25.0,Personal,C,6125.0,14.65,0.0,0.09,N,2.0
42.0,39000.0,Rent,4.0,Homeimprovement,B,19750.0,10.65,1.0,0.51,N,1.0
22.0,22800.0,Mortgage,0.0,Education,A,3000.0,8.94,0.0,0.13,N,0.0
25.0,28800.0,Rent,0.0,Education,A,5000.0,8.9,0.0,0.17,N,0.0
25.0,66000.0,Rent,9.0,Education,D,25000.0,15.33,1.0,0.38,N,3.0
23.0,132000.0,Mortgage,7.0,Personal,C,9000.0,11.34,0.0,0.07,Y,2.0
23.0,40000.0,Mortgage,7.0,Debtconsolidation,C,6000.0,14.79,0.0,0.15,Y,2.0
24.0,51600.0,Own,8.0,Venture,C,20000.0,12.87,0.0,0.39,N,2.0
25.0,36000.0,Mortgage,2.0,Debtconsolidation,C,13750.0,13.22,1.0,0.38,N,2.0
24.0,26400.0,Rent,4.0,Medical,A,8875.0,6.62,1.0,0.34,N,0.0
22.0,60000.0,Rent,0.0,Debtconsolidation,B,6600.0,10.59,0.0,0.11,N,1.0
23.0,70000.0,Rent,2.0,Venture,B,11500.0,11.86,0.0,0.16,N,1.0
31.0,36900.0,Mortgage,15.0,Homeimprovement,B,1600.0,9.62,0.0,0.04,N,1.0
25.0,43000.0,Rent,1.0,Venture,C,12000.0,13.16,0.0,0.28,Y,2.0
28.0,225000.0,Mortgage,12.0,Personal,A,20000.0,7.88,0.0,0.09,N,0.0
26.0,77004.0,Mortgage,0.0,Medical,B,6000.0,11.99,0.0,0.08,N,1.0
26.0,60000.0,Rent,10.0,Venture,B,5000.0,10.99,0.0,0.08,N,1.0
23.0,145000.0,Own,7.0,Education,B,20800.0,11.83,0.0,0.14,N,1.0
27.0,70000.0,Rent,9.0,Medical,C,3600.0,14.79,0.0,0.05,Y,2.0
27.0,38000.0,Own,11.0,Homeimprovement,A,4000.0,7.68,0.0,0.11,N,0.0
26.0,36194.0,Mortgage,10.0,Personal,B,9250.0,10.08,0.0,0.26,N,1.0
33.0,100000.0,Rent,1.0,Homeimprovement,C,25000.0,11.66,0.0,0.25,N,2.0
32.0,60000.0,Mortgage,2.0,Venture,B,7125.0,9.99,0.0,0.12,N,1.0
29.0,84000.0,Mortgage,11.0,Medical,A,15000.0,6.99,0.0,0.18,N,0.0
35.0,160000.0,Rent,3.0,Medical,A,7500.0,8.0,0.0,0.05,N,0.0
28.0,168000.0,Rent,0.0,Debtconsolidation,F,15000.0,17.26,1.0,0.09,Y,5.0
23.0,28800.0,Rent,0.0,Debtconsolidation,A,6000.0,8.94,0.0,0.21,N,0.0
32.0,95000.0,Mortgage,12.0,Education,A,9000.0,5.42,0.0,0.09,N,0.0
36.0,105859.0,Own,20.0,Venture,B,12000.0,11.99,0.0,0.11,N,1.0
34.0,30000.0,Mortgage,4.0,Debtconsolidation,A,4300.0,7.9,0.0,0.14,N,0.0
24.0,83000.0,Mortgage,6.0,Homeimprovement,A,10400.0,5.79,0.0,0.13,N,0.0
38.0,118000.0,Mortgage,12.0,Personal,B,11400.0,10.59,0.0,0.1,N,1.0
22.0,54000.0,Own,2.0,Venture,B,2000.0,10.99,0.0,0.04,N,1.0
26.0,56000.0,Rent,10.0,Homeimprovement,B,10000.0,12.69,1.0,0.18,N,1.0
25.0,55000.0,Rent,0.0,Education,B,6400.0,10.71,0.0,0.12,N,1.0
29.0,32000.0,Rent,6.0,Medical,C,10800.0,13.57,1.0,0.34,N,2.0
22.0,68000.0,Mortgage,6.0,Education,A,3500.0,6.39,0.0,0.05,N,0.0
22.0,50000.0,Mortgage,5.0,Education,B,2000.0,12.18,0.0,0.04,N,1.0
30.0,42000.0,Rent,2.0,Medical,B,16200.0,10.25,1.0,0.39,N,1.0
26.0,103200.0,Mortgage,8.0,Personal,A,9000.0,6.76,0.0,0.09,N,0.0
24.0,65000.0,Rent,8.0,Venture,E,15000.0,16.32,1.0,0.23,Y,4.0
29.0,92000.0,Mortgage,3.0,Homeimprovement,A,11200.0,7.97386248765075,0.0,0.12,N,0.0
22.0,66996.0,Mortgage,6.0,Education,B,6000.0,10.37,0.0,0.09,N,1.0
22.0,28880.0,Mortgage,4.0,Medical,A,2000.0,8.59,0.0,0.07,N,0.0
41.0,87000.0,Mortgage,4.0,Personal,D,9000.0,16.0,0.0,0.1,N,3.0
34.0,37000.0,Rent,2.0,Medical,D,16000.0,12.99,1.0,0.43,Y,3.0
23.0,55000.0,Rent,4.0,Education,B,25000.0,11.36,1.0,0.45,N,1.0
26.0,33600.0,Rent,0.0,Personal,A,5400.0,7.928722422605453,0.0,0.16,N,0.0
25.0,39000.0,Mortgage,5.0,Personal,C,8500.0,14.65,1.0,0.22,N,2.0
27.0,48000.0,Mortgage,1.0,Personal,C,6000.0,13.49,0.0,0.13,N,2.0
32.0,80000.0,Rent,1.0,Medical,C,25000.0,12.87,1.0,0.31,N,2.0
32.0,100000.0,Mortgage,4.0,Personal,A,6000.0,7.14,0.0,0.06,N,0.0
21.0,52000.0,Mortgage,1.0,Education,C,16000.0,12.87,0.0,0.31,N,2.0
24.0,45000.0,Mortgage,3.0,Education,B,1275.0,11.36,0.0,0.03,N,1.0
24.0,90000.0,Rent,0.0,Debtconsolidation,A,15000.0,7.9,0.0,0.17,N,0.0
23.0,26400.0,Rent,7.0,Education,A,3800.0,7.9,0.0,0.14,N,0.0
23.0,42000.0,Rent,6.0,Education,B,11800.0,12.69,0.0,0.28,N,1.0
24.0,38000.0,Rent,0.0,Education,C,12000.0,11.34,1.0,0.32,N,2.0
25.0,60000.0,Rent,1.0,Homeimprovement,B,7600.0,12.21,0.0,0.13,N,1.0
22.0,69996.0,Own,2.0,Medical,C,8000.0,12.84,0.0,0.11,Y,2.0
23.0,54000.0,Rent,6.0,Debtconsolidation,D,20000.0,14.84,1.0,0.37,Y,3.0
28.0,41000.0,Rent,10.0,Debtconsolidation,C,1500.0,14.79,0.0,0.04,Y,2.0
23.0,64800.0,Mortgage,7.0,Personal,C,4000.0,13.99,0.0,0.06,Y,2.0
28.0,94000.0,Rent,3.0,Education,A,3700.0,7.9,0.0,0.04,N,0.0
20.0,77052.0,Mortgage,4.0,Education,B,24250.0,11.36,0.0,0.31,N,1.0
28.0,102000.0,Mortgage,0.0,Personal,A,10000.0,5.99,0.0,0.1,N,0.0
24.0,24000.0,Rent,1.0,Debtconsolidation,A,3600.0,6.62,1.0,0.15,N,0.0
26.0,64000.0,Mortgage,9.0,Debtconsolidation,D,8000.0,12.17,1.0,0.13,N,3.0
27.0,54000.0,Rent,11.0,Venture,D,6000.0,14.59,0.0,0.11,Y,3.0
26.0,263000.0,Mortgage,0.0,Education,B,10000.0,10.469666260014744,1.0,0.04,N,1.0
34.0,23000.0,Rent,4.0,Medical,B,3000.0,11.49,0.0,0.13,N,1.0
25.0,105000.0,Mortgage,6.0,Personal,D,6500.0,13.87,0.0,0.06,N,3.0
28.0,37000.0,Rent,2.0,Venture,B,4500.0,11.11,0.0,0.12,N,1.0
33.0,18000.0,Rent,1.0,Homeimprovement,B,1600.0,9.88,1.0,0.09,N,1.0
31.0,30000.0,Rent,5.0,Medical,B,1000.0,9.25,0.0,0.03,N,1.0
27.0,40000.0,Rent,3.0,Personal,A,3000.0,7.05,0.0,0.07,N,0.0
36.0,51996.0,Mortgage,8.0,Medical,B,7500.0,10.51,0.0,0.14,N,1.0
22.0,90000.0,Mortgage,6.0,Debtconsolidation,B,9500.0,10.465774875097047,0.0,0.11,N,1.0
23.0,25000.0,Mortgage,0.0,Personal,C,4750.0,13.57,0.0,0.19,N,2.0
21.0,25000.0,Own,0.0,Education,B,8800.0,9.33,0.0,0.35,N,1.0
26.0,54000.0,Mortgage,9.0,Personal,A,10800.0,7.88,0.0,0.2,N,0.0
26.0,30000.0,Own,0.0,Personal,C,15000.0,13.22,0.0,0.5,N,2.0
25.0,42264.0,Rent,3.0,Debtconsolidation,B,3000.0,10.71,0.0,0.07,N,1.0
26.0,125000.0,Mortgage,10.0,Venture,C,15000.0,13.85,0.0,0.12,Y,2.0
27.0,47000.0,Mortgage,11.0,Debtconsolidation,G,7750.0,22.97787050871745,1.0,0.16,N,6.0
32.0,48750.0,Rent,5.0,Debtconsolidation,C,3000.0,13.49,0.0,0.06,N,2.0
22.0,37000.0,Mortgage,3.0,Debtconsolidation,A,15000.0,6.54,0.0,0.41,N,0.0
23.0,92000.0,Mortgage,2.0,Debtconsolidation,B,15000.0,9.91,0.0,0.16,N,1.0
25.0,53481.0,Own,4.0,Education,A,15000.0,6.03,0.0,0.28,N,0.0
29.0,96050.0,Mortgage,7.0,Medical,C,15200.0,13.85,1.0,0.13,Y,2.0
23.0,60000.0,Mortgage,6.0,Venture,A,10000.0,5.42,0.0,0.17,N,0.0
33.0,120000.0,Mortgage,14.0,Venture,B,2000.0,12.69,0.0,0.02,N,1.0
40.0,54400.0,Mortgage,16.0,Medical,F,25000.0,18.09,1.0,0.39,N,5.0
22.0,72000.0,Rent,4.0,Personal,A,6200.0,5.99,0.0,0.09,N,0.0
24.0,42000.0,Own,1.0,Venture,B,7500.0,10.51,0.0,0.18,N,1.0
38.0,40246.0,Mortgage,7.0,Homeimprovement,A,12000.0,8.9,0.0,0.3,N,0.0
32.0,35000.0,Mortgage,11.0,Debtconsolidation,C,4000.0,13.61,0.0,0.11,Y,2.0
65.0,120000.0,Mortgage,0.0,Personal,B,12000.0,11.48,0.0,0.1,N,1.0
25.0,96720.0,Mortgage,9.0,Education,A,18000.0,7.9,0.0,0.19,N,0.0
21.0,29000.0,Rent,2.0,Medical,D,4200.0,15.62,1.0,0.14,Y,3.0
24.0,51000.0,Rent,3.0,Personal,A,12000.0,7.88,1.0,0.24,N,0.0
23.0,75000.0,Rent,4.0,Personal,C,6000.0,13.98,0.0,0.08,Y,2.0
25.0,36000.0,Mortgage,0.0,Medical,C,5400.0,14.26,0.0,0.15,N,2.0
22.0,53000.0,Mortgage,4.0,Personal,D,8000.0,16.07,0.0,0.15,Y,3.0
49.0,50000.0,Mortgage,4.0,Debtconsolidation,A,10000.0,9.07,0.0,0.2,N,0.0
27.0,75000.0,Rent,5.0,Personal,A,15000.0,6.91,0.0,0.2,N,0.0
31.0,55000.0,Mortgage,2.0,Personal,A,8000.0,7.14,0.0,0.15,N,0.0
25.0,58000.0,Mortgage,9.0,Medical,A,8500.0,7.14,0.0,0.15,N,0.0
31.0,96000.0,Mortgage,15.0,Homeimprovement,D,8000.0,14.09,0.0,0.08,Y,3.0
25.0,45000.0,Rent,1.0,Medical,B,12500.0,10.37,0.0,0.28,N,1.0
25.0,63000.0,Rent,3.0,Medical,B,20000.0,12.42,1.0,0.32,N,1.0
22.0,43200.0,Rent,2.0,Education,A,8000.0,5.99,0.0,0.19,N,0.0
24.0,40560.0,Rent,5.0,Venture,A,8000.0,7.66,0.0,0.2,N,0.0
23.0,63800.0,Rent,7.0,Education,B,5000.0,9.99,0.0,0.08,N,1.0
25.0,60000.0,Rent,6.0,Medical,C,7500.0,14.27,0.0,0.13,Y,2.0
39.0,75000.0,Rent,0.0,Personal,B,14400.0,12.53,0.0,0.19,N,1.0
37.0,50000.0,Rent,1.0,Homeimprovement,C,15000.0,13.22,0.0,0.3,Y,2.0
23.0,30000.0,Rent,2.0,Education,A,6400.0,6.99,0.0,0.21,N,0.0
29.0,14500.0,Rent,1.0,Education,C,3600.0,13.61,1.0,0.25,Y,2.0
31.0,55000.0,Mortgage,0.0,Homeimprovement,B,15000.0,11.36,0.0,0.27,N,1.0
24.0,47000.0,Mortgage,5.0,Debtconsolidation,C,10000.0,13.79,0.0,0.21,Y,2.0
29.0,200000.0,Mortgage,4.0,Medical,A,12000.0,7.88,0.0,0.06,N,0.0
34.0,41600.0,Rent,0.0,Personal,B,5000.0,10.65,0.0,0.12,N,1.0
47.0,70000.0,Rent,3.0,Homeimprovement,A,6000.0,8.49,0.0,0.09,N,0.0
38.0,78000.0,Rent,2.0,Medical,A,6000.0,6.99,0.0,0.08,N,0.0
24.0,29000.0,Mortgage,8.0,Personal,B,1450.0,10.40312357792211,1.0,0.05,N,1.0
24.0,45600.0,Mortgage,0.0,Education,A,7200.0,6.91,0.0,0.16,N,0.0
38.0,81000.0,Mortgage,3.0,Personal,C,10000.0,14.27,0.0,0.12,Y,2.0
24.0,102000.0,Mortgage,8.0,Venture,B,20000.0,10.25,0.0,0.2,N,1.0
37.0,408000.0,Rent,14.0,Education,C,6000.0,12.61,0.0,0.01,N,2.0
21.0,41000.0,Rent,2.0,Debtconsolidation,C,4500.0,13.49,1.0,0.11,N,2.0
23.0,76000.0,Mortgage,8.0,Debtconsolidation,B,6000.0,11.49,1.0,0.08,N,1.0
30.0,50000.0,Own,3.0,Homeimprovement,A,5000.0,5.99,0.0,0.1,N,0.0
31.0,69000.0,Rent,12.0,Homeimprovement,A,16000.0,5.99,0.0,0.23,N,0.0
24.0,65000.0,Mortgage,5.0,Venture,A,8000.0,7.51,0.0,0.12,N,0.0
26.0,130000.0,Rent,3.0,Venture,D,14400.0,14.46,0.0,0.11,Y,3.0
21.0,65500.0,Rent,6.0,Education,C,8000.0,12.84,0.0,0.12,Y,2.0
30.0,84000.0,Mortgage,1.0,Debtconsolidation,B,6000.0,10.43853518067316,0.0,0.07,N,1.0
24.0,49000.0,Mortgage,2.0,Venture,D,7000.0,13.17,0.0,0.14,Y,3.0
22.0,72000.0,Mortgage,7.0,Education,A,10000.0,7.964523163848274,0.0,0.14,N,0.0
27.0,101004.0,Mortgage,2.0,Medical,A,11025.0,7.9,0.0,0.11,N,0.0
28.0,48000.0,Own,1.0,Homeimprovement,D,12000.0,14.54,0.0,0.25,N,3.0
31.0,25000.0,Own,0.0,Debtconsolidation,D,2400.0,14.42,0.0,0.1,Y,3.0
24.0,25920.0,Own,4.0,Education,D,3250.0,15.99,0.0,0.13,Y,3.0
24.0,59600.0,Rent,8.0,Personal,A,10000.0,5.99,0.0,0.17,N,0.0
30.0,60000.0,Rent,8.0,Medical,A,5000.0,7.925609314671295,0.0,0.08,N,0.0
25.0,65000.0,Mortgage,9.0,Personal,A,5000.0,7.29,0.0,0.08,N,0.0
31.0,32000.0,Rent,0.0,Homeimprovement,B,4500.0,11.14,1.0,0.14,N,1.0
30.0,45000.0,Rent,2.0,Education,A,13250.0,7.9,0.0,0.29,N,0.0
26.0,76668.0,Rent,10.0,Debtconsolidation,A,7200.0,9.63,0.0,0.09,N,0.0
